fuelType,model,make,createdOn
Regular,Spider Veloce 2000,Alfa Romeo,Tue Jan 01 00:00:00 EST 2013
Regular,Testarossa,Ferrari,Tue Jan 01 00:00:00 EST 2013
Regular,Charger,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,B150/B250 Wagon 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Premium,Legacy AWD Turbo,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Loyale,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Corolla,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Golf III / GTI,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,Jetta III,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,240,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,100,Audi,Tue Jan 01 00:00:00 EST 2013
Premium,740i,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,740il,BMW,Tue Jan 01 00:00:00 EST 2013
Regular,750il,BMW,Tue Jan 01 00:00:00 EST 2013
Regular,Century,Buick,Tue Jan 01 00:00:00 EST 2013
Regular,Regal,Buick,Tue Jan 01 00:00:00 EST 2013
Regular,Riviera,Buick,Tue Jan 01 00:00:00 EST 2013
Premium,Eldorado,Cadillac,Tue Jan 01 00:00:00 EST 2013
Premium,Seville,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Lumina,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,New Yorker,Chrysler,Tue Jan 01 00:00:00 EST 2013
Premium,XM v6,CX Automotive,Tue Jan 01 00:00:00 EST 2013
Premium,XM v6a,CX Automotive,Tue Jan 01 00:00:00 EST 2013
Premium,Maxima,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Dynasty,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Spirit,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Taurus,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,Taurus SHO,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,B350 Wagon 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Thunderbird,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,Thunderbird,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Sonata,Hyundai,Tue Jan 01 00:00:00 EST 2013
Premium,Q45,Infiniti,Tue Jan 01 00:00:00 EST 2013
Premium,Q45 Full-Active Suspension,Infiniti,Tue Jan 01 00:00:00 EST 2013
Premium,LS 400,Lexus,Tue Jan 01 00:00:00 EST 2013
Regular,Cougar,Mercury,Tue Jan 01 00:00:00 EST 2013
