make,model,year,trany,VClass,barrels08
Chevrolet,Prizm,2001-01-01,manual,Compact Cars,10.632581
Chevrolet,Prizm,2002-01-01,manual,Compact Cars,10.632581
Toyota,Corolla,2009-01-01,manual,Compact Cars,10.987
Toyota,Corolla,1999-01-01,manual,Compact Cars,10.987
Chevrolet,Cobalt XFE Sedan,2010-01-01,manual,Compact Cars,10.987
Toyota,Corolla,2010-01-01,manual,Compact Cars,10.987
Chevrolet,Aveo,2010-01-01,manual,Compact Cars,10.987
Chevrolet,Prizm,2001-01-01,automatic,Compact Cars,10.987
Chevrolet,Aveo,2009-01-01,manual,Compact Cars,10.987
Toyota,Corolla,1998-01-01,manual,Compact Cars,10.987
Pontiac,G3 Wave,2009-01-01,manual,Compact Cars,10.987
Chevrolet,Aveo 5,2010-01-01,manual,Subcompact Cars,10.987
Chevrolet,Cruze Eco,2011-01-01,automatic,Midsize Cars,10.987
Chevrolet,Aveo,2011-01-01,manual,Compact Cars,10.987
Kia,Forte Eco,2011-01-01,automatic,Midsize Cars,10.987
Ford,Escort Wagon,1996-01-01,manual,Small Station Wagons,10.987
Honda,Fit,2009-01-01,automatic,Small Station Wagons,10.987
Chevrolet,Cruze,2011-01-01,manual,Midsize Cars,10.987
Toyota,Corolla,2009-01-01,automatic,Compact Cars,10.987
Toyota,Corolla,2000-01-01,manual,Compact Cars,10.987
Toyota,Corolla,2001-01-01,automatic,Compact Cars,10.987
Nissan,Sentra,2011-01-01,automatic,Midsize Cars,10.987
Honda,Fit,2008-01-01,automatic,Small Station Wagons,10.987
Toyota,Corolla,2002-01-01,automatic,Compact Cars,10.987
Chevrolet,Prizm,2000-01-01,manual,Compact Cars,10.987
Suzuki,Swift x,2010-01-01,manual,Subcompact Cars,10.987
Chevrolet,Prizm,2002-01-01,automatic,Compact Cars,10.987
Pontiac,G3 (5-Door),2010-01-01,manual,Compact Cars,10.987
Mazda,Protege,1998-01-01,manual,Compact Cars,11.365862
Scion,xB,2005-01-01,automatic,Small Station Wagons,11.365862
Toyota,Matrix,2005-01-01,manual,Small Station Wagons,11.365862
MINI,Clubman,2009-01-01,automatic,Subcompact Cars,11.365862
MINI,Clubman S,2009-01-01,manual,Subcompact Cars,11.365862
Toyota,Matrix,2011-01-01,manual,Small Station Wagons,11.365862
Suzuki,Esteem,1999-01-01,manual,Subcompact Cars,11.365862
MINI,Cooper S,2009-01-01,manual,Minicompact Cars,11.365862
Toyota,Corolla,2011-01-01,automatic,Compact Cars,11.365862
Pontiac,Vibe,2005-01-01,manual,Small Station Wagons,11.365862
Honda,Fit,2009-01-01,manual,Small Station Wagons,11.365862
Toyota,Matrix,2008-01-01,manual,Small Station Wagons,11.365862
Saturn,SL,1996-01-01,manual,Compact Cars,11.365862
Toyota,Corolla,2005-01-01,automatic,Compact Cars,11.365862
Toyota,Corolla,2010-01-01,automatic,Compact Cars,11.365862
Mercury,Tracer,1994-01-01,manual,Compact Cars,11.365862
Toyota,Corolla,2006-01-01,automatic,Compact Cars,11.365862
Nissan,Juke,2011-01-01,automatic,Small Station Wagons,11.365862
MINI,Cooper,2009-01-01,automatic,Minicompact Cars,11.365862
Toyota,Matrix,2006-01-01,manual,Small Station Wagons,11.365862
Saturn,SL,1999-01-01,manual,Compact Cars,11.365862
Chevrolet,Cobalt XFE,2008-01-01,manual,Subcompact Cars,11.365862
Pontiac,G5 XFE,2008-01-01,manual,Subcompact Cars,11.365862
MINI,Clubman S,2008-01-01,manual,Subcompact Cars,11.365862
Suzuki,Esteem,1998-01-01,manual,Subcompact Cars,11.365862
Ford,Escort Wagon,1986-01-01,manual,Small Station Wagons,11.365862
Pontiac,Vibe,2006-01-01,manual,Small Station Wagons,11.365862
Chevrolet,Prizm,1998-01-01,manual,Compact Cars,11.365862
MINI,John Cooper Works,2009-01-01,manual,Minicompact Cars,11.365862
Saturn,SL,2002-01-01,manual,Compact Cars,11.365862
MINI,John Cooper Works Convertible,2009-01-01,manual,Minicompact Cars,11.365862
MINI,John Cooper Works Clubman,2009-01-01,manual,Subcompact Cars,11.365862
MINI,Clubman,2008-01-01,automatic,Subcompact Cars,11.365862
MINI,Cooper S,2008-01-01,manual,Minicompact Cars,11.365862
MINI,Cooper,2008-01-01,automatic,Minicompact Cars,11.365862
Toyota,Corolla,2008-01-01,automatic,Compact Cars,11.365862
Chevrolet,Malibu Hybrid,2009-01-01,automatic,Midsize Cars,11.365862
Chevrolet,Prizm,1999-01-01,manual,Compact Cars,11.365862
Mercury,Lynx Wagon,1986-01-01,manual,Small Station Wagons,11.365862
Honda,Fit,2008-01-01,automatic,Small Station Wagons,11.365862
Saturn,SL,2001-01-01,manual,Compact Cars,11.365862
Saturn,Aura Hybrid,2009-01-01,automatic,Midsize Cars,11.365862
Scion,xB,2004-01-01,manual,Small Station Wagons,11.365862
Pontiac,Vibe,2008-01-01,manual,Small Station Wagons,11.365862
Suzuki,Esteem,2001-01-01,manual,Subcompact Cars,11.365862
MINI,Cooper S Countryman,2011-01-01,manual,Compact Cars,11.365862
Mercury,Tracer Wagon,1992-01-01,manual,Small Station Wagons,11.365862
Chevrolet,Cobalt Sedan,2010-01-01,manual,Compact Cars,11.365862
Ford,Escort Wagon,1992-01-01,manual,Small Station Wagons,11.365862
Mercury,Tracer Wagon,1995-01-01,manual,Small Station Wagons,11.365862
Ford,Escort Wagon,1995-01-01,manual,Small Station Wagons,11.365862
Nissan,Cube,2010-01-01,automatic,Small Station Wagons,11.365862
Saturn,SL,2000-01-01,manual,Compact Cars,11.365862
Mercury,Tracer Wagon,1994-01-01,manual,Small Station Wagons,11.365862
Mercury,Tracer,1995-01-01,manual,Compact Cars,11.365862
Ford,Escort Wagon,1994-01-01,manual,Small Station Wagons,11.365862
Toyota,Corolla,2007-01-01,automatic,Compact Cars,11.365862
Nissan,Sentra FE,2009-01-01,automatic,Midsize Cars,11.365862
Mercury,Tracer,1992-01-01,manual,Compact Cars,11.365862
Chevrolet,Malibu Hybrid,2010-01-01,automatic,Midsize Cars,11.365862
Pontiac,Vibe,2007-01-01,manual,Small Station Wagons,11.365862
Hyundai,Elantra,2010-01-01,automatic,Midsize Cars,11.365862
Hyundai,Elantra Blue,2010-01-01,manual,Midsize Cars,11.365862
Toyota,Matrix,2007-01-01,manual,Small Station Wagons,11.365862
Suzuki,Esteem,2000-01-01,manual,Subcompact Cars,11.365862
Hyundai,Elantra,2010-01-01,manual,Midsize Cars,11.365862
Nissan,Sentra,2010-01-01,automatic,Midsize Cars,11.365862
Pontiac,G3 Wave,2009-01-01,automatic,Compact Cars,11.771786
Chevrolet,Aveo,2009-01-01,automatic,Compact Cars,11.771786
Hyundai,Elantra,2008-01-01,automatic,Midsize Cars,11.771786
Nissan,Sentra,2008-01-01,automatic,Midsize Cars,11.771786
Ford,Escort,1997-01-01,manual,Compact Cars,11.771786
Chevrolet,Prizm,2000-01-01,automatic,Compact Cars,11.771786
Toyota,Corolla,1999-01-01,automatic,Compact Cars,11.771786
Chevrolet,Prizm,1999-01-01,automatic,Compact Cars,11.771786
Toyota,Corolla,2000-01-01,automatic,Compact Cars,11.771786
