charge240,city08U,cityE,co2A,comb08U,combE,cylinders,displ,drive,engId,feScore,fuelCost08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,mpgData,range,rangeCity,rangeHwy,trany,UCity,UHighway,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn
0.0,0.0,41.0,-1,0.0,40.0,,,,0,-1,800,Electricity,Electricity,-1,-1,91,0.0,37.0,0,0,16423,0,0,Nissan,Altra EV,N,90,0.0,0.0,Automatic,116.2069,129.6154,Midsize Station Wagons,2000,2750,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
0.0,0.0,41.0,-1,0.0,47.0,,,2-Wheel Drive,0,-1,900,Electricity,Electricity,-1,-1,64,0.0,53.0,0,0,16424,0,0,Toyota,RAV4 EV,N,88,0.0,0.0,Automatic,116.2069,91.0811,Sport Utility Vehicle - 2WD,2000,2250,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
0.0,0.0,46.0,-1,0.0,52.0,,,,0,-1,1000,Electricity,Electricity,-1,-1,58,0.0,59.0,0,0,17329,0,0,Ford,Th!nk,N,29,0.0,0.0,Automatic,105.3125,82.1951,Two Seaters,2001,1750,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
0.0,0.0,75.0,-1,0.0,87.0,,,2-Wheel Drive,0,-1,1700,Electricity,Electricity,-1,-1,33,0.0,102.0,0,0,17330,0,0,Ford,Explorer USPS Electric,N,38,0.0,0.0,Automatic,62.4074,46.8056,Sport Utility Vehicle - 2WD,2001,-1750,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
0.0,0.0,40.0,-1,0.0,45.0,,,,0,-1,900,Electricity,Electricity,-1,-1,66,0.0,51.0,0,0,17331,0,0,Nissan,Hyper-Mini,N,33,0.0,0.0,Automatic,120.3571,93.6111,Two Seaters,2001,2250,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
0.0,0.0,54.0,-1,0.0,58.0,,,2-Wheel Drive,0,-1,1150,Electricity,Electricity,-1,-1,54,0.0,63.0,0,0,30965,0,0,Ford,Ranger Pickup 2WD,N,50,0.0,0.0,Automatic,88.6842,76.5909,Standard Pickup Trucks 2WD,2001,1000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
0.0,0.0,43.0,-1,0.0,40.0,,,,0,-1,800,Electricity,Electricity,-1,-1,94,0.0,36.0,0,0,30968,0,0,GMC,EV1,N,55,0.0,0.0,Automatic,112.3333,134.8,Two Seaters,1999,2750,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
0.0,0.0,69.0,-1,0.0,71.0,,,,0,-1,1400,Electricity,Electricity,-1,-1,46,0.0,73.0,0,0,30970,0,0,Honda,EV Plus,N,81,0.0,0.0,Automatic,68.7755,66.0784,Compact Cars,1999,-250,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
0.0,0.0,90.0,-1,0.0,96.0,,,2-Wheel Drive,0,-1,1850,Electricity,Electricity,-1,-1,33,0.0,103.0,0,0,30973,0,0,Dodge,Caravan/Grand Caravan 2WD,N,70,0.0,0.0,Automatic,50.2985,46.1644,Minivan - 2WD,1999,-2500,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
0.0,0.0,90.0,-1,0.0,96.0,,,Front-Wheel Drive,0,-1,1850,Electricity,Electricity,-1,-1,33,0.0,103.0,0,0,30974,0,0,Plymouth,Voyager/Grand Voyager 2WD,N,70,0.0,0.0,Automatic,50.2985,46.1644,Minivan - 2WD,1999,-2500,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
0.0,0.0,64.0,-1,0.0,62.0,,,2-Wheel Drive,0,-1,1200,Electricity,Electricity,-1,-1,58,0.0,59.0,0,0,30976,0,0,Chevrolet,S10 Electric,N,33,0.0,0.0,Automatic,74.8889,82.1951,Small Pickup Trucks 2WD,1998,750,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
0.0,0.0,33.0,-1,0.0,34.0,,,,0,-1,650,Electricity,Electricity,-1,-1,94,0.0,36.0,0,0,30978,0,0,MINI,MiniE,N,100,0.0,0.0,Automatic,146.8499,133.6898,Minicompact Cars,2008,3500,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
7.0,0.0,32.0,-1,0.0,34.0,,,Front-Wheel Drive,0,-1,650,Electricity,Electricity,-1,-1,92,0.0,37.0,23,90,30979,0,0,Nissan,Leaf,Y,73,0.0,0.0,Automatic,151.5,131.3,Midsize Cars,2011,3500,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
8.0,0.0,36.0,-1,0.0,39.0,,,Rear-Wheel Drive,705,-1,750,Electricity,Electricity,-1,-1,79,0.0,43.0,0,0,31064,0,0,smart,fortwo electric drive cabriolet,N,63,0.0,0.0,Automatic,134.627,112.906,Two Seaters,2011,3000,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
8.0,0.0,36.0,-1,0.0,39.0,,,Rear-Wheel Drive,704,-1,750,Electricity,Electricity,-1,-1,79,0.0,43.0,0,0,31065,0,0,smart,fortwo electric drive coupe,N,63,0.0,0.0,Automatic,134.627,112.906,Two Seaters,2011,3000,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
7.0,126.4,27.0,-1,112.2,30.0,,,Rear-Wheel Drive,141,-1,600,Electricity,Electricity,-1,-1,99,98.7,34.0,13,85,31673,0,0,Mitsubishi,i-MiEV,Y,62,68.5545,54.8184,Automatic,180.5,141.0,Subcompact Cars,2012,3750,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
8.0,61.9,55.0,-1,62.0,54.0,,,Front-Wheel Drive,1,-1,1050,Electricity,Electricity,-1,-1,62,62.0,54.0,0,0,31893,0,0,Azure Dynamics,Transit Connect Electric Van,N,56,56.7812,55.6759,Automatic,88.4,88.6,Special Purpose Vehicle 2WD,2012,1500,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
8.0,61.9,55.0,-1,62.0,54.0,,,Front-Wheel Drive,2,-1,1050,Electricity,Electricity,-1,-1,62,62.0,54.0,0,0,31894,0,0,Azure Dynamics,Transit Connect Electric Wagon,N,56,56.7812,55.6759,Automatic,88.4,88.6,Special Purpose Vehicle 2WD,2012,1500,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
5.0,106.733,32.0,-1,101.822,33.0,,,Rear-Wheel Drive,100,-1,650,Electricity,Electricity,-1,-1,96,96.4011,35.0,0,0,32276,6,0,BMW,Active E,N,94,0.0,0.0,Automatic,152.4758,137.7159,Subcompact Cars,2011,3500,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
6.0,77.2,44.0,-1,72.7,46.0,,,Front-Wheel Drive,1,-1,900,Electricity,Electricity,-1,-1,68,67.9,50.0,0,0,32277,0,14,CODA Automotive,CODA,N,88,93.555,93.555,Automatic,110.3,97.0,Subcompact Cars,2012,2250,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
